OBJECTID,NUMERO_ORDINE,TECNICO,DATA_PRELIVEO,SPECIE,LATITUDINE,LONGITUDINE,CULTIVAR,RISULTATO,COMUNE
"12,598",212,CNR ,11/14/2013 00:00:00,OLIVO,40.46666667,16.84277778,****,NEGATIVO,GINOSA
"12,599",213,CNR ,11/14/2013 00:00:00,OLIVO,40.50361111,16.97055556,****,NEGATIVO,PALAGIANO
"12,600",214,CNR ,11/14/2013 00:00:00,OLIVO,40.50361111,16.97055556,****,NEGATIVO,PALAGIANO
"12,601",215,CNR ,11/14/2013 00:00:00,OLIVO,40.50361111,16.97055556,****,NEGATIVO,PALAGIANO
"12,602",216,CNR ,11/14/2013 00:00:00,OLIVO,40.52138889,17.06527778,****,NEGATIVO,MASSAFRA
"12,603",217,CNR ,11/14/2013 00:00:00,OLIVO,40.50361111,16.97055556,****,NEGATIVO,PALAGIANO
"12,604",218,CNR ,11/14/2013 00:00:00,OLIVO,40.50361111,16.97055556,****,NEGATIVO,PALAGIANO
"12,606",221,CNR ,11/14/2013 00:00:00,OLIVO,40.50361111,16.97055556,****,NEGATIVO,PALAGIANO
"12,607",222,CNR ,11/14/2013 00:00:00,OLIVO,40.55055556,16.94555556,****,NEGATIVO,CASTELLANETA
"12,608",223,CNR ,11/14/2013 00:00:00,OLIVO,40.50361111,16.97055556,****,NEGATIVO,PALAGIANO
"12,609",224,CNR ,11/14/2013 00:00:00,OLIVO,40.50361111,16.97055556,****,NEGATIVO,PALAGIANO
"12,610",225,CNR ,11/14/2013 00:00:00,OLIVO,40.55944444,16.92638889,****,NEGATIVO,CASTELLANETA
"12,611",226,DIA ,11/20/2013 00:00:00,OLIVO,40.86194444,17.34777778,****,NEGATIVO,FASANO
"12,612",227,DIA ,11/20/2013 00:00:00,OLIVO,40.86194444,17.34750000,****,NEGATIVO,FASANO
"12,613",228,DIA ,11/20/2013 00:00:00,OLIVO,40.84416667,17.37027778,****,NEGATIVO,FASANO
"12,614",229,DIA ,11/20/2013 00:00:00,OLIVO,40.85083333,17.39027778,****,NEGATIVO,FASANO
"12,615",230,DIA ,11/20/2013 00:00:00,OLIVO,40.85250000,17.41583333,****,NEGATIVO,FASANO
"12,616",231,DIA ,11/20/2013 00:00:00,MANDORLO,40.84972222,17.42277778,****,NEGATIVO,FASANO
"12,618",233,DIA ,11/20/2013 00:00:00,OLIVO,40.83000000,17.46916667,****,NEGATIVO,FASANO
"12,619",234,DIA ,11/20/2013 00:00:00,OLEANDRO,40.83194444,17.46694444,****,NEGATIVO,FASANO
"12,620",235,DIA ,11/20/2013 00:00:00,MANDORLO,40.81583333,17.46000000,****,NEGATIVO,FASANO
"12,621",236,DIA ,11/20/2013 00:00:00,OLIVO,40.81555556,17.46055556,****,NEGATIVO,FASANO
"12,622",237,DIA ,11/20/2013 00:00:00,OLEANDRO,40.80805556,17.45277778,****,NEGATIVO,FASANO
"12,623",238,DIA ,11/20/2013 00:00:00,OLIVO,40.80638889,17.42916667,****,NEGATIVO,FASANO
"12,624",239,DIA ,11/20/2013 00:00:00,OLIVO,40.81527778,17.40416667,****,NEGATIVO,FASANO
"12,625",240,DIA ,11/20/2013 00:00:00,QUERCUS,40.81527778,17.40444444,****,NEGATIVO,FASANO
"12,626",241,DIA ,11/20/2013 00:00:00,OLIVO,40.82000000,17.39055556,****,NEGATIVO,FASANO
"12,627",514,ARG CGN,11/21/2013 00:00:00,VITE,40.54750000,17.82916667,****,NEGATIVO,MESAGNE
"12,628",515,ARG CGN,11/21/2013 00:00:00,OLIVO,40.55750000,17.84666667,****,NEGATIVO,MESAGNE
"12,629",516,ARG CGN,11/21/2013 00:00:00,OLEANDRO,40.55027778,17.87055556,****,NEGATIVO,BRINDISI
"12,631",518,ARG CGN,11/21/2013 00:00:00,OLIVO,40.54972222,17.93194444,****,NEGATIVO,BRINDISI
"12,632",519,ARG CGN,11/21/2013 00:00:00,QUERCUS,40.53527778,17.94416667,****,NEGATIVO,BRINDISI
